clickstream_sample.ts	clickstream_sample.source_id	clickstream_sample.sub_id	clickstream_sample.user_id	clickstream_sample.session_id	clickstream_sample.user_ip	clickstream_sample.country_id	clickstream_sample.user_agent	clickstream_sample.is_from_one_way	clickstream_sample.is_link	clickstream_sample.http_referer	clickstream_sample.previous_site	clickstream_sample.requested_site	clickstream_sample.http_code	clickstream_sample.http_redirect_to_url	clickstream_sample.content_type	clickstream_sample.application_name	clickstream_sample.is_from_browser	clickstream_sample.version	clickstream_sample.client_redirect	clickstream_sample.client_redirect_duration	clickstream_sample.version_number	clickstream_sample.server_redirect	clickstream_sample.ip_hash	clickstream_sample.year	clickstream_sample.month	clickstream_sample.day	clickstream_sample.app
1494741936.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			http://www.vivadoo.com/en/classifieds/north-governorate/koura/property-property-for-sale/all-sub-categories/listings/keywords/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741936.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			https://www.propertyfinder.com.lb/search?af=&bf=&bt=&c=1&fu=&l=18-17&ob=nd&pf=&pt=&rp=&t=24	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741936.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			http://www.firstaqar.com/list.php	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741936.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			https://www.propertyfinder.com.lb/search?af=&bf=&bt=&c=1&fu=&l=18-17&ob=nd&pf=&pt=&rp=&t=35	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741943.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			http://www.vivadoo.com/en/classifieds/north-governorate/tripoli/property-property-for-sale/all-sub-categories/listings/keywords/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741967.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://olxliban.com/observed/search/	https://olxliban.com/observed/search/	https://www.propertyfinder.com.lb/search?af=&bf=&bt=&c=1&fu=&l=18-17&ob=nd&pf=&pt=&rp=&t=5	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741992.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://olxliban.com/observed/search/	https://www.propertyfinder.com.lb/search?l=17-18&q=&c=1&t=1&pf=170000&pt=240000&bf=&bt=&af=&at=&kw=	https://www.propertyfinder.com.lb/search?l=17-18&q=&c=1&t=1&pf=170000&pt=240000&bf=&bt=&af=&at=&kw=	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494741997.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://olxliban.com/observed/search/	https://www.propertyfinder.com.lb/search?l=17-18&q=&c=1&t=1&pf=170000&pt=240000&bf=&bt=&af=&at=&kw=	https://olxliban.com/properties/properties-for-sale/land-for-sale/koura/?search%5Bdescription%5D=1&min_id=102346278	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742031.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://olxliban.com/observed/search/	https://www.propertyfinder.com.lb/search?l=17-18&q=&c=1&t=1&pf=170000&pt=240000&bf=&bt=&af=&at=&kw=	https://olxliban.com/properties/properties-for-sale/apartments-for-sale/tripoli/?search%5Bdescription%5D=1&search%5Bdist%5D=0&min_id=102345792	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742033.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://olxliban.com/observed/search/	https://www.propertyfinder.com.lb/search?l=17-18&q=&c=1&t=1&pf=170000&pt=240000&bf=&bt=&af=&at=&kw=	https://olxliban.com/properties/properties-for-sale/apartments-for-sale/tripoli/?search%5Bdescription%5D=1&search%5Bdist%5D=0&search%5Bfilter_float_price%3Afrom%5D=160000&search%5Bfilter_float_price%3Ato%5D=235000&min_id=102326602	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742055.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.vivadoo.com/en/classifieds/north-governorate/tripoli/property-property-for-sale/all-sub-categories/listings/keywords/	http://www.vivadoo.com/en/classifieds/north-governorate/tripoli/property-property-for-sale/all-sub-categories/listings/keywords/	http://www.vivadoo.com/en/classifieds/north-governorate/tripoli-al-hadid/property-property-for-sale/commercial/561199/%D8%B4%D9%82%D9%87-%D9%81%D8%AE%D9%85%D9%87-%D8%A8%D8%AF%D9%85-%D9%88%D8%A7%D9%84%D9%81%D8%B1%D8%B2-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742132.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			http://www.saudia.com/portal/saudiairlines/Welcome	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742162.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.saudia.com/portal/saudiairlines/Welcome	http://www.saudia.com/portal/saudiairlines/Welcome	https://www.bookonline.saudiairlines.com/Saudia/dyn/air/booking/Availability?B_LOCATION_book=Riyadh+%28RUH%29&B_LOCATION=RUH&E_LOCATION_book=Beirut+%28BEY%29&E_LOCATION=BEY&TRIP_TYPE=R&DATE_1=201706150000&DATE_2=201707010000&IS_FLEXIBLE=TRUE&adults=2&youth=0&children=1&infants=0&CABIN=E&WDS_PROMO_CODE=&FORCE_OVERRIDE=TRUE&LANGUAGE=GB&SITE=BDXHBDXH&TRIP_FLOW=YES&BOOKING_FLOW=REVENUE&SHOW_MULTIDEST=FALSE&WDS_SERVICING=TRUE&WDS_TIMETABLE=TRUE&WDS_FLIGHTSTATUS=TRUE&WDS_ETKT_RETRIEVE=TRUE&WDS_AAAS=TRUE&WDS_XBAG=TRUE&WDS_UPGR=FALSE&WDS_XHTML_DIRECT_ACCESS=FALSE&WDS_ATC_REFUND=TRUE&WDS_PAY_NOW=TRUE&WDS_JOIN_ALFURSAN=TRUE&WDS_ADOBE_ANALYTICS=TRUE&SO_SITE_FMF_ACTIVATION=TRUE&SO_SITE_FMF_DIRECT_INIT=TRUE&WDS_FIND_MORE_FLIGHTS=TRUE&WDS_ENABLE_TAX_BREAKDOWN=TRUE&WDS_ASN_MARKET_CHECK=TRUE&MARKET=SA&WDS_CC_AX=TRUE&WDS_CC_DC=FALSE&WDS_CC_DS=FALSE&WDS_AX_SAFEKEY=TRUE&WDS_ENABLE_AMOP=TRUE&WDS_ELIGIBLE_AMOPS_LIST=SDOLP&WDS_SDOLP_TRANS_THRESHOLD=40000&WDS_ENABLE_FF_PARTNERS=TRUE&WDS_INTERNATIONAL_UPSELL_TEASER=TRUE&WDS_BOOKING_COM=TRUE&WDS_GOOGLE_TAG_MANAGER=TRUE&WDS_PHMSA=TRUE&WDS_ATC_UPGR=TRUE&WDS_ENABLE_WAIT_ADS=TRUE&WDS_SET_WAIT_IMG=image&WDS_WAITLIST=TRUE&SO_SITE_AUTHORIZE_WL_PENDING=TRUE&SO_SITE_BOOK_ON_WAITLIST=TRUE&SO_SITE_FP_WAITLIST_RATIO=0&WDS_PROMO_CODE_USABILITY=TRUE&WDS_AAAS_PHASE_2=TRUE&WDS_MILES_CASH=FALSE&WDS_RAIL_AND_FLY=FALSE&WDS_CARS=TRUE&WDS_ENABLE_HIGH_CONTRAST_MODE=FALSE&WDS_ENABLE_SPA_PHASE_1=TRUE&WDS_SPA_ROUTES=JEDRUH%2CRUHJED&WDS_ENABLE_FAST_ENROLL=TRUE&WDS_ENABLE_REF_REISSUE_PNR=TRUE&WDS_CURRENCIES_WITHOUT_ANCILLARIES=none&WDS_TTT_ENABLE=TRUE&WDS_WA_TTT=TRUE&WDS_TTP_ENABLE=TRUE&WDS_B15_UK_ENABLED=TRUE&WDS_WIFI_ENABLED=TRUE&SO_SITE_ALLOW_DISRUP_CHANGE=FALSE&TRAVELLER_TYPE_1=ADT&TRAVELLER_TYPE_2=ADT&TRAVELLER_TYPE_3=CHD	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742178.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.bookonline.saudiairlines.com/Saudia/dyn/air/booking/Availability?B_LOCATION_book=Riyadh+%28RUH%29&B_LOCATION=RUH&E_LOCATION_book=Beirut+%28BEY%29&E_LOCATION=BEY&TRIP_TYPE=R&DATE_1=201706150000&DATE_2=201707010000&IS_FLEXIBLE=TRUE&adults=2&youth=0&children=1&infants=0&CABIN=E&WDS_PROMO_CODE=&FORCE_OVERRIDE=TRUE&LANGUAGE=GB&SITE=BDXHBDXH&TRIP_FLOW=YES&BOOKING_FLOW=REVENUE&SHOW_MULTIDEST=FALSE&WDS_SERVICING=TRUE&WDS_TIMETABLE=TRUE&WDS_FLIGHTSTATUS=TRUE&WDS_ETKT_RETRIEVE=TRUE&WDS_AAAS=TRUE&WDS_XBAG=TRUE&WDS_UPGR=FALSE&WDS_XHTML_DIRECT_ACCESS=FALSE&WDS_ATC_REFUND=TRUE&WDS_PAY_NOW=TRUE&WDS_JOIN_ALFURSAN=TRUE&WDS_ADOBE_ANALYTICS=TRUE&SO_SITE_FMF_ACTIVATION=TRUE&SO_SITE_FMF_DIRECT_INIT=TRUE&WDS_FIND_MORE_FLIGHTS=TRUE&WDS_ENABLE_TAX_BREAKDOWN=TRUE&WDS_ASN_MARKET_CHECK=TRUE&MARKET=SA&WDS_CC_AX=TRUE&WDS_CC_DC=FALSE&WDS_CC_DS=FALSE&WDS_AX_SAFEKEY=TRUE&WDS_ENABLE_AMOP=TRUE&WDS_ELIGIBLE_AMOPS_LIST=SDOLP&WDS_SDOLP_TRANS_THRESHOLD=40000&WDS_ENABLE_FF_PARTNERS=TRUE&WDS_INTERNATIONAL_UPSELL_TEASER=TRUE&WDS_BOOKING_COM=TRUE&WDS_GOOGLE_TAG_MANAGER=TRUE&WDS_PHMSA=TRUE&WDS_ATC_UPGR=TRUE&WDS_ENABLE_WAIT_ADS=TRUE&WDS_SET_WAIT_IMG=image&WDS_WAITLIST=TRUE&SO_SITE_AUTHORIZE_WL_PENDING=TRUE&SO_SITE_BOOK_ON_WAITLIST=TRUE&SO_SITE_FP_WAITLIST_RATIO=0&WDS_PROMO_CODE_USABILITY=TRUE&WDS_AAAS_PHASE_2=TRUE&WDS_MILES_CASH=FALSE&WDS_RAIL_AND_FLY=FALSE&WDS_CARS=TRUE&WDS_ENABLE_HIGH_CONTRAST_MODE=FALSE&WDS_ENABLE_SPA_PHASE_1=TRUE&WDS_SPA_ROUTES=JEDRUH%2CRUHJED&WDS_ENABLE_FAST_ENROLL=TRUE&WDS_ENABLE_REF_REISSUE_PNR=TRUE&WDS_CURRENCIES_WITHOUT_ANCILLARIES=none&WDS_TTT_ENABLE=TRUE&WDS_WA_TTT=TRUE&WDS_TTP_ENABLE=TRUE&WDS_B15_UK_ENABLED=TRUE&WDS_WIFI_ENABLED=TRUE&SO_SITE_ALLOW_DISRUP_CHANGE=FALSE&TRAVELLER_TYPE_1=ADT&TRAVELLER_TYPE_2=ADT&TRAVELLER_TYPE_3=CHD	https://www.bookonline.saudiairlines.com/Saudia/dyn/air/booking/Availability?B_LOCATION_book=Riyadh+%28RUH%29&B_LOCATION=RUH&E_LOCATION_book=Beirut+%28BEY%29&E_LOCATION=BEY&TRIP_TYPE=R&DATE_1=201706150000&DATE_2=201707010000&IS_FLEXIBLE=TRUE&adults=2&youth=0&children=1&infants=0&CABIN=E&WDS_PROMO_CODE=&FORCE_OVERRIDE=TRUE&LANGUAGE=GB&SITE=BDXHBDXH&TRIP_FLOW=YES&BOOKING_FLOW=REVENUE&SHOW_MULTIDEST=FALSE&WDS_SERVICING=TRUE&WDS_TIMETABLE=TRUE&WDS_FLIGHTSTATUS=TRUE&WDS_ETKT_RETRIEVE=TRUE&WDS_AAAS=TRUE&WDS_XBAG=TRUE&WDS_UPGR=FALSE&WDS_XHTML_DIRECT_ACCESS=FALSE&WDS_ATC_REFUND=TRUE&WDS_PAY_NOW=TRUE&WDS_JOIN_ALFURSAN=TRUE&WDS_ADOBE_ANALYTICS=TRUE&SO_SITE_FMF_ACTIVATION=TRUE&SO_SITE_FMF_DIRECT_INIT=TRUE&WDS_FIND_MORE_FLIGHTS=TRUE&WDS_ENABLE_TAX_BREAKDOWN=TRUE&WDS_ASN_MARKET_CHECK=TRUE&MARKET=SA&WDS_CC_AX=TRUE&WDS_CC_DC=FALSE&WDS_CC_DS=FALSE&WDS_AX_SAFEKEY=TRUE&WDS_ENABLE_AMOP=TRUE&WDS_ELIGIBLE_AMOPS_LIST=SDOLP&WDS_SDOLP_TRANS_THRESHOLD=40000&WDS_ENABLE_FF_PARTNERS=TRUE&WDS_INTERNATIONAL_UPSELL_TEASER=TRUE&WDS_BOOKING_COM=TRUE&WDS_GOOGLE_TAG_MANAGER=TRUE&WDS_PHMSA=TRUE&WDS_ATC_UPGR=TRUE&WDS_ENABLE_WAIT_ADS=TRUE&WDS_SET_WAIT_IMG=image&WDS_WAITLIST=TRUE&SO_SITE_AUTHORIZE_WL_PENDING=TRUE&SO_SITE_BOOK_ON_WAITLIST=TRUE&SO_SITE_FP_WAITLIST_RATIO=0&WDS_PROMO_CODE_USABILITY=TRUE&WDS_AAAS_PHASE_2=TRUE&WDS_MILES_CASH=FALSE&WDS_RAIL_AND_FLY=FALSE&WDS_CARS=TRUE&WDS_ENABLE_HIGH_CONTRAST_MODE=FALSE&WDS_ENABLE_SPA_PHASE_1=TRUE&WDS_SPA_ROUTES=JEDRUH%2CRUHJED&WDS_ENABLE_FAST_ENROLL=TRUE&WDS_ENABLE_REF_REISSUE_PNR=TRUE&WDS_CURRENCIES_WITHOUT_ANCILLARIES=none&WDS_TTT_ENABLE=TRUE&WDS_WA_TTT=TRUE&WDS_TTP_ENABLE=TRUE&WDS_B15_UK_ENABLED=TRUE&WDS_WIFI_ENABLED=TRUE&SO_SITE_ALLOW_DISRUP_CHANGE=FALSE&TRAVELLER_TYPE_1=ADT&TRAVELLER_TYPE_2=ADT&TRAVELLER_TYPE_3=CHD	https://www.bookonline.saudiairlines.com/Saudia/dyn/air/booking/Availability?TAB_ID=bJwIv3RcpXoSN8YTBoa0vQN0DM3JkaTW7MjbmmYjvKlUMnq9UjcA!-199506633!191667272!1494742150227	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742310.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0		https://www.mea.com.lb/english/home	https://www.mea.com.lb/english/home	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742336.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.mea.com.lb/english/home	https://www.mea.com.lb/OnlineBooking.html	https://www.mea.com.lb/OnlineBooking.html	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742363.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.mea.com.lb/english/home	https://www.mea.com.lb/OnlineBooking.html	https://www.mea.com.lb/OnlineBooking.html	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494742364.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.mea.com.lb/english/home	https://www.mea.com.lb/OnlineBooking.html	https://www.mea.com.lb/OnlineBooking.html	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494743371.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			https://www.google.com.sa/search?q=flights&{google:acceptedSuggestion}oq=flights&aqs=chrome..69i57j69i61l3j69i65.4830j0j7&sourceid=chrome&ie=UTF-8	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494743667.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZHRTsIwFIafhYteQs9gAfVuMTJnJnFkwOzNUroqi2u7tAeHPr2FOxIdMdq7k35fTs7_U0YLyjR_r1851kbzxs_PbFqOx7dXwXUIKaSzAKJpDEn2GE7iOdBNHwBxQNmv_DhZzCDKovv1fJ17f_I3H8JL_sMlwCewQ2xvCBDoum5Ub9VIGEXgoBrtCLTWVAQqjhw_WklAGI1SIwErndlbIYfCNI0Ux0AdZWLHLZbIXV2KvbWeLJ3_NJYW-TJP_nsd8m2iK3mgxZO0L8YqroX0obHesxdBP3Dq9Rz4prhe4NjMCYAfXgS0VatV8ZnKzfBteZcNBl8-E0ho/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!Index=chart_tasi_current_sector!TRTI==/?	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494743674.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZHRTsIwFIafhYteQs9gAfVuMTJnJnFkwOzNUroqi2u7tAeHPr2FOxIdMdq7k35fTs7_U0YLyjR_r1851kbzxs_PbFqOx7dXwXUIKaSzAKJpDEn2GE7iOdBNHwBxQNmv_DhZzCDKovv1fJ17f_I3H8JL_sMlwCewQ2xvCBDoum5Ub9VIGEXgoBrtCLTWVAQqjhw_WklAGI1SIwErndlbIYfCNI0Ux0AdZWLHLZbIXV2KvbWeLJ3_NJYW-TJP_nsd8m2iK3mgxZO0L8YqroX0obHesxdBP3Dq9Rz4prhe4NjMCYAfXgS0VatV8ZnKzfBteZcNBl8-E0ho/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!Index=chart_tasi_current_sector!TRTI==/?	https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZHRTsIwFIafhYteQs9gAfVuMTJnJnFkwOzNUroqi2u7tAeHPr2FOxIdMdq7k35fTs7_U0YLyjR_r1851kbzxs_PbFqOx7dXwXUIKaSzAKJpDEn2GE7iOdBNHwBxQNmv_DhZzCDKovv1fJ17f_I3H8JL_sMlwCewQ2xvCBDoum5Ub9VIGEXgoBrtCLTWVAQqjhw_WklAGI1SIwErndlbIYfCNI0Ux0AdZWLHLZbIXV2KvbWeLJ3_NJYW-TJP_nsd8m2iK3mgxZO0L8YqroX0obHesxdBP3Dq9Rz4prhe4NjMCYAfXgS0VatV8ZnKzfBteZcNBl8-E0ho/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!Index=chart_tasi_current_sector!TRTI==/?	https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZFBT8JAEIV_C4c9wkyhAfXWGKk1laSk0LqXZtlupLHdbbaDRX-9C55MtMToXCaT-V4m8x5wyIFr8Vo9C6qMFrWbn_i8mE5vr7xrH2OMFx4G8xCj5NGfhUuEbAjA0AP-K30YrRYYJMH9drlNnX72Nz36l_QPlwDnwJ6ovWHIsO_7SbVrJtI0DI9NrTuGrTUlw1KQoLdWMZRGk9LE0KrOHKxUY2nqWsmToR1wuReWChJdVciDtY4sOrc0FvJ0nUb_fY7ELtKlOkL-2TLggw-vvGHgnOhX4JvIBoFTJmcAf6gAoW02m_w9Vtn4ZX2XjEYf70bFBg!!/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!ListedCompanies=chart_tasi_current_sector!TRTI==/?	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494743689.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZFBT8JAEIV_C4c9wkyhAfXWGKk1laSk0LqXZtlupLHdbbaDRX-9C55MtMToXCaT-V4m8x5wyIFr8Vo9C6qMFrWbn_i8mE5vr7xrH2OMFx4G8xCj5NGfhUuEbAjA0AP-K30YrRYYJMH9drlNnX72Nz36l_QPlwDnwJ6ovWHIsO_7SbVrJtI0DI9NrTuGrTUlw1KQoLdWMZRGk9LE0KrOHKxUY2nqWsmToR1wuReWChJdVciDtY4sOrc0FvJ0nUb_fY7ELtKlOkL-2TLggw-vvGHgnOhX4JvIBoFTJmcAf6gAoW02m_w9Vtn4ZX2XjEYf70bFBg!!/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!ListedCompanies=chart_tasi_current_sector!TRTI==/?	https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZFBT8JAEIV_C4c9wkyhAfXWGKk1laSk0LqXZtlupLHdbbaDRX-9C55MtMToXCaT-V4m8x5wyIFr8Vo9C6qMFrWbn_i8mE5vr7xrH2OMFx4G8xCj5NGfhUuEbAjA0AP-K30YrRYYJMH9drlNnX72Nz36l_QPlwDnwJ6ovWHIsO_7SbVrJtI0DI9NrTuGrTUlw1KQoLdWMZRGk9LE0KrOHKxUY2nqWsmToR1wuReWChJdVciDtY4sOrc0FvJ0nUb_fY7ELtKlOkL-2TLggw-vvGHgnOhX4JvIBoFTJmcAf6gAoW02m_w9Vtn4ZX2XjEYf70bFBg!!/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!ListedCompanies=chart_tasi_current_sector!TRTI==/?	https://www.tadawul.com.sa/wps/portal/tadawul/markets/equities/indices/today/!ut/p/z1/rZHRTsIwFIafhYteQs9gAfVuITBnJsnIgNmbpXQNNG7t0h4c-vQW7kx0xGjvTvp9OTn_TxktKNP8TR04KqN57ecXNi3H4_ldcB9CCuksgGgaQ5I9h5N4CXTXB0AcUPYrP05WM4iy6HG73Oben_zNh_CW_3QL8AkcEdsHAgS6rhupfTMSpiFwbmrtCLTWVAQqjhzfW0lAGI1SIwErnTlZIYfC1LUUl0AdZeLILZbInSrFyVpPls5_GkuLfJ0n_70O-T7RlTzTIlUOZTU3Tcu1ks4Hx3pPXwX9wLXbr8A35fUCl3auAPzwIqBts9kUH6ncDV_Xi2ww-ATbySrL/p0/IZ7_NHLCH082KGN530A68FC4AN2O63=CZ6_22C81940L0L710A6G0IQM43GF0=MEtabIndex!Index=chart_tasi_current_sector!TRTI==/?	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494745306.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0			https://www.skyscanner.net/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494745335.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.skyscanner.net/	https://www.skyscanner.net/	https://www.skyscanner.net/transport/flights/ruh/bey/170615/170701/airfares-from-riyadh-to-beirut-in-june-2017-and-july-2017.html?adults=2&children=1&adultsv2=2&childrenv2=3&infants=0&cabinclass=economy&rtn=1&preferdirects=true&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#results	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
